Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
6,1.0,7,0.875,2.4748737341529163,7.0,0.381824671733995
7,0.0,0,0.0,0.0,0.0,0.09273154916291879
8,3.0,0,0.75,1.164964745021435,6.0,0.3111680534190475
9,1.0,0,0.75,2.121320343559643,6.0,0.3435046820277011
10,0.0,0,0.0,0.0,0.0,0.15619767578330568
11,0.0,0,0.0,0.0,0.0,0.1074831340028474
12,1.0,0,0.375,1.0606601717798212,3.0,0.1841425628345899
13,3.0,0,0.375,0.7440238091428449,3.0,0.20316520854526965
14,1.0,7,0.875,2.4748737341529163,7.0,0.31905460354680265
15,2.0,6,1.0,2.138089935299395,8.0,0.19430979495264616
16,0.0,0,0.0,0.0,0.0,0.021964520124507687
17,2.0,0,0.625,1.1877349391654208,5.0,0.2826517780068781
18,0.0,0,0.0,0.0,0.0,0.09943371640631112
19,0.0,0,0.0,0.0,0.0,0.05535117106795139
20,1.0,0,0.125,0.3535533905932738,1.0,0.031194033497448058
21,0.0,0,0.0,0.0,0.0,0.05870737444934677
22,0.0,0,0.0,0.0,0.0,0.11801738395265703
23,1.0,0,0.75,2.121320343559643,6.0,0.09213806476731341
24,1.0,7,0.875,2.4748737341529163,7.0,0.4040209092635901
25,1.0,0,0.125,0.3535533905932738,1.0,0.3038560301567583
26,3.0,0,1.0,1.4142135623730951,8.0,0.532972752042315
27,1.0,0,0.75,2.121320343559643,6.0,0.18908461550987787
28,0.0,0,0.0,0.0,0.0,0.07483670968860112
29,1.0,0,0.375,1.0606601717798212,3.0,0.3461919920459768
30,0.0,0,0.0,0.0,0.0,0.03067403344122263
31,4.0,4,1.625,1.7677669529663689,13.0,0.496375041128697
32,0.0,0,0.0,0.0,0.0,0.026143734294446816
33,1.0,0,0.625,1.7677669529663689,5.0,0.437290346770646
34,2.0,0,0.5,0.9258200997725514,4.0,0.4922704495880981
35,1.0,0,0.625,1.7677669529663689,5.0,0.13749802358938118
36,2.0,6,1.5,2.7774602993176547,12.0,0.21242510861026725
37,1.0,0,0.5,1.4142135623730951,4.0,0.1107053632493584
38,2.0,0,0.0,0.0,0.0,0.4839891750167213
39,2.0,0,0.5,1.4142135623730951,4.0,0.27003165035941173
40,0.0,0,0.0,0.0,0.0,0.019590437567934858
41,2.0,0,0.375,1.0606601717798212,3.0,0.12919008678493993
42,0.0,0,0.0,0.0,0.0,0.19261422493137284
43,3.0,0,0.875,1.6420805617960927,7.0,0.41368815103431783
44,1.0,0,0.75,2.121320343559643,6.0,0.1309878659838956
45,1.0,0,0.0,0.0,0.0,0.14831946759277348
46,3.0,0,0.5,1.4142135623730951,4.0,0.41262092643348103
47,0.0,0,0.0,0.0,0.0,0.01924605195768963
48,1.0,0,0.625,1.7677669529663689,5.0,0.03837699460430222
49,2.0,0,0.5,0.9258200997725514,4.0,0.37722449913689876
1,0.0,0,0.0,0.0,0.0,0.06240369043769351
2,2.0,0,0.8888888888888888,2.0275875100994063,8.0,0.16989174553533334
3,2.0,0,0.3333333333333333,0.7071067811865476,3.0,0.11265658604829625
4,0.0,0,0.0,0.0,0.0,0.019857120744583928
5,1.0,0,0.1111111111111111,0.33333333333333337,1.0,0.2095050790511696
6,2.0,7,1.5555555555555556,3.0867098629086893,14.0,0.27606460611861444
7,0.0,0,0.0,0.0,0.0,0.009779117226295764
8,3.0,0,0.6666666666666666,1.118033988749895,6.0,0.5320677196780429
9,1.0,0,0.6666666666666666,2.0,6.0,0.01828849446605316
10,0.0,0,0.0,0.0,0.0,0.279791167446003
11,0.0,0,0.0,0.0,0.0,0.06110591070076824
12,1.0,0,0.3333333333333333,1.0,3.0,0.21519260774232737
13,3.0,0,0.3333333333333333,0.7071067811865475,3.0,0.4882021637007004
14,2.0,7,1.5555555555555556,3.0867098629086893,14.0,0.36487117133065294
15,2.0,0,0.8888888888888888,2.0275875100994063,8.0,0.05617287206851056
16,0.0,0,0.0,0.0,0.0,0.06185668064414412
17,2.0,0,0.5555555555555556,1.130388330520878,5.0,0.18343294321743223
18,0.0,0,0.0,0.0,0.0,0.029955685453753298
19,1.0,8,0.8888888888888888,2.6666666666666665,8.0,0.17991226928021103
20,2.0,7,0.8888888888888888,2.3154073315749675,8.0,0.20139588739542436
21,0.0,0,0.0,0.0,0.0,0.0685946496471387
22,0.0,0,0.0,0.0,0.0,0.023521500217484472
23,1.0,0,0.6666666666666666,2.0,6.0,0.05347277508351675
24,1.0,0,0.7777777777777778,2.3333333333333335,7.0,0.31355646827765843
25,1.0,0,0.1111111111111111,0.33333333333333337,1.0,0.04148655374322328
26,3.0,0,0.8888888888888888,1.3642254619787417,8.0,0.3767531807883484
27,1.0,0,0.6666666666666666,2.0,6.0,0.45421770223867514
28,0.0,0,0.0,0.0,0.0,0.1407599270558588
29,1.0,0,0.3333333333333333,1.0,3.0,0.08394799404336331
30,0.0,0,0.0,0.0,0.0,0.10892782658627422
31,4.0,0,1.4444444444444444,1.740051084818425,13.0,0.7332274940710983
32,0.0,0,0.0,0.0,0.0,0.23334958166858727
33,1.0,0,0.5555555555555556,1.6666666666666667,5.0,0.24931635348552178
34,2.0,0,0.4444444444444444,0.8819171036881969,4.0,0.0801640816296183
35,1.0,0,0.5555555555555556,1.6666666666666667,5.0,0.1250730037546313
36,3.0,6,2.0,3.0,18.0,0.19152019995794903
37,1.0,0,0.4444444444444444,1.3333333333333335,4.0,0.20773709163762985
38,2.0,0,0.0,0.0,0.0,0.16141054034631763
39,2.0,0,0.4444444444444444,1.3333333333333335,4.0,0.28498023808571554
40,1.0,8,0.8888888888888888,2.6666666666666665,8.0,0.08001155578164253
41,3.0,6,1.0,2.1213203435596424,9.0,0.35927385699871195
42,0.0,0,0.0,0.0,0.0,0.012876116727652421
43,3.0,0,0.7777777777777778,1.5634719199411433,7.0,0.28468322063188434
44,1.0,0,0.6666666666666666,2.0,6.0,0.0943279789236902
45,1.0,0,0.0,0.0,0.0,0.06757308450682199
